Codigo,Nome,Indice,Total,Não existe
1302207,Juruá (AM),0.9981,5676,5665
1302306,Jutaí (AM),0.9703,10524,10211
1302405,Lábrea (AM),0.6631,23391,15510
1302504,Manacapuru (AM),0.9539,59222,56492
1302553,Manaquiri (AM),1.0000,6961,6961
1302603,Manaus (AM),0.8906,1760829,1568161
1302702,Manicoré (AM),0.9562,20245,19359
1302801,Maraã (AM),0.7763,8744,6788
1302900,Maués (AM),0.9893,25683,25409
1303007,Nhamundá (AM),0.9526,6990,6659
1303106,Nova Olinda do Norte (AM),0.9854,13587,13389
1303205,Novo Airão (AM),1.0000,9439,9439
1303304,Novo Aripuanã (AM),0.5665,14002,7932
1303403,Parintins (AM),0.9328,58698,54754
1303502,Pauini (AM),0.8150,9202,7500
1303536,Presidente Figueiredo (AM),0.8970,12957,11622
1303569,Rio Preto da Eva (AM),0.9020,12144,10954
1303601,Santa Isabel do Rio Negro (AM),0.9766,6798,6639
1303700,Santo Antônio do Içá (AM),0.9525,12850,12240
1303809,São Gabriel da Cachoeira (AM),0.9686,18872,18280
1303908,São Paulo de Olivença (AM),0.8080,14220,11490
1303957,São Sebastião do Uatumã (AM),0.9949,5883,5853
1304005,Silves (AM),0.9875,4016,3966
1304062,Tabatinga (AM),0.9148,35998,32931
1304104,Tapauá (AM),0.9803,10594,10385
1304203,Tefé (AM),0.8938,48438,43296
1304237,Tonantins (AM),0.9826,8893,8738
1304260,Uarini (AM),0.9908,6652,6591
1304302,Urucará (AM),0.9934,9849,9784
1304401,Urucurituba (AM),0.9967,10369,10335
1400027,Amajari (RR),1.0000,1218,1218
1400050,Alto Alegre (RR),0.9778,4766,4660
1400100,Boa Vista (RR),0.9420,276022,260023
1400159,Bonfim (RR),0.8555,3674,3143
1400175,Cantá (RR),0.9542,2249,2146
1400209,Caracaraí (RR),0.9783,10792,10558
1400233,Caroebe (RR),0.9327,3237,3019
1400282,Iracema (RR),0.9679,4075,3944
1400308,Mucajaí (RR),0.9815,8873,8709
1400407,Normandia (RR),0.9839,2297,2260
1400456,Pacaraima (RR),0.9879,4481,4427
1400472,Rorainópolis (RR),0.9623,10636,10235
1400506,São João da Baliza (RR),0.2844,4708,1339
1400605,São Luiz (RR),0.9991,4454,4450
1400704,Uiramutã (RR),0.9244,794,734
1500107,Abaetetuba (PA),0.9662,82956,80149
1500131,Abel Figueiredo (PA),1.0000,5998,5998
1500206,Acará (PA),0.8527,12590,10735
1500305,Afuá (PA),0.9889,9408,9304
1500347,Água Azul do Norte (PA),0.9785,7340,7182
1500404,Alenquer (PA),0.8355,27641,23095
1500503,Almeirim (PA),0.9070,19899,18049
1500602,Altamira (PA),0.9389,79622,74761
1500701,Anajás (PA),0.9619,9443,9083
1500800,Ananindeua (PA),0.9188,461048,423595
1500859,Anapu (PA),0.9418,9803,9232
1500909,Augusto Corrêa (PA),0.9114,18233,16617
1500958,Aurora do Pará (PA),0.8552,8158,6977
1501006,Aveiro (PA),0.7900,3772,2980
1501105,Bagre (PA),0.9939,10608,10543
1501204,Baião (PA),0.9462,18500,17504
1501253,Bannach (PA),1.0000,1256,1256
1501303,Barcarena (PA),0.9700,38560,37405
1501402,Belém (PA),0.8888,1370089,1217668
1501451,Belterra (PA),0.9931,6851,6804
1501501,Benevides (PA),0.9663,29316,28328
1501576,Bom Jesus do Tocantins (PA),0.9974,8109,8088
1501600,Bonito (PA),1.0000,3825,3825
1501709,Bragança (PA),0.8452,72400,61190
1501725,Brasil Novo (PA),0.9715,6887,6691
1501758,Brejo Grande do Araguaia (PA),1.0000,4306,4306
1501782,Breu Branco (PA),0.9925,29257,29039
1501808,Breves (PA),0.8749,46429,40619
1501907,Bujaru (PA),0.9625,8080,7777
1501956,Cachoeira do Piriá (PA),0.9919,5522,5477
1502004,Cachoeira do Arari (PA),0.9933,7302,7253
1502103,Cametá (PA),0.9353,52782,49368
1502152,Canaã dos Carajás (PA),0.9043,20668,18690
1502202,Capanema (PA),0.9339,51207,47823
1502301,Capitão Poço (PA),0.9960,21360,21274
1502400,Castanhal (PA),0.9400,153977,144741
1502509,Chaves (PA),0.8931,2497,2230
1502608,Colares (PA),0.9601,3661,3515
1502707,Conceição do Araguaia (PA),0.8425,32281,27197
1502756,Concórdia do Pará (PA),0.9690,15064,14597
1502764,Cumaru do Norte (PA),0.8723,2694,2350
1502772,Curionópolis (PA),0.9302,12512,11639
1502806,Curralinho (PA),0.9430,10884,10264
1502855,Curuá (PA),0.9870,5852,5776
1502905,Curuçá (PA),0.9707,12169,11813
1502939,Dom Eliseu (PA),0.9893,30476,30149
1502954,Eldorado dos Carajás (PA),0.6479,16504,10693
1503002,Faro (PA),0.9943,6096,6061
1503044,Floresta do Araguaia (PA),0.9995,8699,8695
1503077,Garrafão do Norte (PA),0.9422,8604,8107
1503093,Goianésia do Pará (PA),0.8370,21021,17595
1503101,Gurupá (PA),0.6497,9544,6201
1503200,Igarapé-Açu (PA),0.9707,21196,20574
1503309,Igarapé-Miri (PA),0.8950,26145,23401
1503408,Inhangapi (PA),0.9931,2766,2747
1503457,Ipixuna do Pará (PA),0.9891,12188,12055
1503507,Irituia (PA),0.9595,6520,6256
1503606,Itaituba (PA),0.9121,70381,64192
1503705,Itupiranga (PA),0.8160,20403,16648
1503754,Jacareacanga (PA),0.8248,4926,4063
1503804,Jacundá (PA),0.6541,45561,29803
1503903,Juruti (PA),0.9654,19686,19005
1504000,Limoeiro do Ajuru (PA),0.9156,6194,5671
1504059,Mãe do Rio (PA),0.9558,22997,21981
1504109,Magalhães Barata (PA),1.0000,3795,3795
1504208,Marabá (PA),0.9227,185740,171376
1504307,Maracanã (PA),0.9774,11611,11349
1504406,Marapanim (PA),0.9485,12846,12185
1504422,Marituba (PA),0.9878,102735,101477
1504455,Medicilândia (PA),0.9932,9502,9437
1504505,Melgaço (PA),0.9949,5472,5444
1504604,Mocajuba (PA),0.9273,18836,17466
1504703,Moju (PA),0.9440,25124,23716
1504802,Monte Alegre (PA),0.7697,24506,18862
1504901,Muaná (PA),0.7518,14497,10899
1504950,Nova Esperança do Piriá (PA),0.9791,7951,7785
1504976,Nova Ipixuna (PA),0.9282,7702,7149
1505007,Nova Timboteua (PA),0.9997,6968,6966
1505031,Novo Progresso (PA),0.8709,17063,14860
1505064,Novo Repartimento (PA),0.8568,31479,26970
1505106,Óbidos (PA),0.9154,25295,23155
1505205,Oeiras do Pará (PA),0.9668,11430,11051
1505304,Oriximiná (PA),0.9060,40079,36311
1505403,Ourém (PA),0.9776,7403,7237
1505437,Ourilândia do Norte (PA),0.9806,19873,19487
1505486,Pacajá (PA),0.5058,13702,6931
1505494,Palestina do Pará (PA),0.9976,4537,4526
1505502,Paragominas (PA),0.9567,76361,73055
1505536,Parauapebas (PA),0.8995,138427,124512
1505551,Pau D'Arco (PA),1.0000,3631,3631
1505601,Peixe-Boi (PA),0.9957,4152,4134
1505635,Piçarra (PA),1.0000,3564,3564
1505650,Placas (PA),0.6468,4816,3115
1505700,Ponta de Pedras (PA),0.9951,12394,12333
1505809,Portel (PA),0.5129,24687,12662
1505908,Porto de Moz (PA),0.6590,14550,9589
1506005,Prainha (PA),0.9606,8882,8532
1506104,Primavera (PA),0.9326,6382,5952
1506112,Quatipuru (PA),0.9004,5299,4771
1506138,Redenção (PA),0.7970,68589,54667
1506161,Rio Maria (PA),0.9721,13478,13102
1506187,Rondon do Pará (PA),0.9649,34642,33426
1506195,Rurópolis (PA),0.9929,15167,15059
1506203,Salinópolis (PA),0.9748,33016,32183
1506302,Salvaterra (PA),0.9408,12580,11835
1506351,Santa Bárbara do Pará (PA),0.4525,5445,2464
1506401,Santa Cruz do Arari (PA),1.0000,3990,3990
1506500,Santa Isabel do Pará (PA),0.8742,42913,37515
1506559,Santa Luzia do Pará (PA),0.9116,8646,7882
1506583,Santa Maria das Barreiras (PA),0.5190,6326,3283
1506609,Santa Maria do Pará (PA),0.9631,13298,12807
1506708,Santana do Araguaia (PA),0.9163,29369,26912
1506807,Santarém (PA),0.8851,215563,190795
1506906,Santarém Novo (PA),0.9917,1807,1792
1507003,Santo Antônio do Tauá (PA),0.9243,14835,13712
1507102,São Caetano de Odivelas (PA),0.9944,6932,6893
1507151,São Domingos do Araguaia (PA),0.7405,15235,11282
1507201,São Domingos do Capim (PA),0.9928,10488,10412
1507300,São Félix do Xingu (PA),0.8609,44825,38592
1507409,São Francisco do Pará (PA),0.9990,5113,5108
1507458,São Geraldo do Araguaia (PA),0.9937,13538,13453
1507466,São João da Ponta (PA),1.0000,1031,1031
1507474,São João de Pirabas (PA),0.6065,12236,7421
1507508,São João do Araguaia (PA),0.6298,2574,1621
1507607,São Miguel do Guamá (PA),0.8871,34168,30309
1507706,São Sebastião da Boa Vista (PA),1.0000,9886,9886
1507755,Sapucaia (PA),0.9790,3286,3217
1507805,Senador José Porfírio (PA),0.9848,6436,6338
1507904,Soure (PA),0.9612,20937,20124
1507953,Tailândia (PA),0.7840,58654,45984
1507961,Terra Alta (PA),1.0000,4329,4329
1507979,Terra Santa (PA),0.9991,12971,12959
1508001,Tomé-Açu (PA),0.7401,31433,23264
1508035,Tracuateua (PA),0.7396,7226,5344
1508050,Trairão (PA),0.9884,6720,6642
1508084,Tucumã (PA),0.9790,26814,26251
1508100,Tucuruí (PA),0.9485,91887,87153
1508126,Ulianópolis (PA),0.9977,28490,28425
1508159,Uruará (PA),0.9979,24541,24490
1508209,Vigia (PA),0.9991,32332,32304
1508308,Viseu (PA),0.9850,18387,18111
1508357,Vitória do Xingu (PA),0.2541,5328,1354
1508407,Xinguara (PA),0.8394,31363,26327
1600055,Serra do Navio (AP),1.0000,2573,2573
1600105,Amapá (AP),0.9625,6353,6115
1600154,Pedra Branca do Amapari (AP),0.7781,5641,4389
1600204,Calçoene (AP),1.0000,7250,7250
1600212,Cutias (AP),0.9807,2435,2388
1600238,Ferreira Gomes (AP),0.9561,4150,3968
1600253,Itaubal (AP),1.0000,1727,1727
1600279,Laranjal do Jari (AP),0.7965,29153,23221
1600303,Macapá (AP),0.8398,325542,273393
1600402,Mazagão (AP),0.8193,8252,6761
1600501,Oiapoque (AP),0.9442,13504,12751
1600535,Porto Grande (AP),0.9997,10804,10801
1600550,Pracuúba (AP),1.0000,1871,1871
1600600,Santana (AP),0.6079,86832,52789
1600709,Tartarugalzinho (AP),0.5344,6491,3469
1600808,Vitória do Jari (AP),0.9005,10131,9123
1700251,Abreulândia (TO),1.0000,1476,1476
1700301,Aguiarnópolis (TO),0.9733,4117,4007
1700350,Aliança do Tocantins (TO),0.9947,4743,4718
1700400,Almas (TO),1.0000,5933,5933
1700707,Alvorada (TO),0.9931,7699,7646
1701002,Ananás (TO),0.8525,8101,6906
1701051,Angico (TO),0.9964,1934,1927
1701101,Aparecida do Rio Negro (TO),1.0000,3307,3307
1701309,Aragominas (TO),0.9950,2222,2211
1701903,Araguacema (TO),0.9951,2868,2854
1702000,Araguaçu (TO),0.9925,5832,5788
1702109,Araguaína (TO),0.8890,142289,126489
1702158,Araguanã (TO),0.9953,3373,3357
1702208,Araguatins (TO),0.9900,20031,19831
1702307,Arapoema (TO),1.0000,5417,5417
1702406,Arraias (TO),0.9992,7276,7270
1702554,Augustinópolis (TO),0.9243,13119,12126
1702703,Aurora do Tocantins (TO),1.0000,2474,2474
1702901,Axixá do Tocantins (TO),0.9987,7610,7600
1703008,Babaçulândia (TO),0.9549,4904,4683
1703057,Bandeirantes do Tocantins (TO),0.9964,1684,1678
1703073,Barra do Ouro (TO),1.0000,2185,2185
1703107,Barrolândia (TO),1.0000,4390,4390
1703206,Bernardo Sayão (TO),0.9991,2173,2171
1703305,Bom Jesus do Tocantins (TO),0.9389,2814,2642
1703602,Brasilândia do Tocantins (TO),0.9909,1433,1420
1703701,Brejinho de Nazaré (TO),0.9933,4189,4161
1703800,Buriti do Tocantins (TO),0.9926,7446,7391
1703826,Cachoeirinha (TO),0.9965,1722,1716
1703842,Campos Lindos (TO),1.0000,4817,4817
1703867,Cariri do Tocantins (TO),0.9885,2090,2066
1703883,Carmolândia (TO),1.0000,1821,1821
1703891,Carrasco Bonito (TO),1.0000,1967,1967
1703909,Caseara (TO),0.9952,2715,2702
1704105,Centenário (TO),1.0000,1504,1504
1704600,Chapada de Areia (TO),1.0000,749,749
1705102,Chapada da Natividade (TO),0.9855,1656,1632
1705508,Colinas do Tocantins (TO),0.9926,29331,29114
1705557,Combinado (TO),0.9937,3984,3959
1705607,Conceição do Tocantins (TO),0.9804,2909,2852
1706001,Couto Magalhães (TO),0.9723,1879,1827
1706100,Cristalândia (TO),0.9981,5888,5877
1706258,Crixás do Tocantins (TO),0.9597,869,834
1706506,Darcinópolis (TO),0.9965,3456,3444
1707009,Dianópolis (TO),0.9959,16391,16324
1707108,Divinópolis do Tocantins (TO),0.9876,4447,4392
1707207,Dois Irmãos do Tocantins (TO),0.9495,2772,2632
1707306,Dueré (TO),1.0000,3042,3042
1707405,Esperantina (TO),0.8602,4605,3961
1707553,Fátima (TO),1.0000,3121,3121
1707652,Figueirópolis (TO),0.9965,4012,3998
1707702,Filadélfia (TO),0.9884,5518,5454
1708205,Formoso do Araguaia (TO),0.9970,13288,13248
1708254,Fortaleza do Tabocão (TO),1.0000,1961,1961
1708304,Goianorte (TO),0.9981,2663,2658
1709005,Goiatins (TO),0.9974,4929,4916
1709302,Guaraí (TO),0.9901,20930,20723
1709500,Gurupi (TO),0.9030,71787,64821
1709807,Ipueiras (TO),0.9497,954,906
1710508,Itacajá (TO),0.9930,4258,4228
1710706,Itaguatins (TO),0.9973,3385,3376
1710904,Itapiratins (TO),1.0000,1905,1905
1711100,Itaporã do Tocantins (TO),0.9839,1552,1527
1711506,Jaú do Tocantins (TO),0.9725,1310,1274
1711803,Juarina (TO),1.0000,1032,1032
1711902,Lagoa da Confusão (TO),0.9901,6291,6229
1711951,Lagoa do Tocantins (TO),0.9949,2538,2525
1712009,Lajeado (TO),0.9837,2028,1995
1712157,Lavandeira (TO),0.9961,1015,1011
1712405,Lizarda (TO),0.9728,2576,2506
1712454,Luzinópolis (TO),1.0000,1986,1986
1712504,Marianópolis do Tocantins (TO),1.0000,2378,2378
1712702,Mateiros (TO),0.9527,1394,1328
1712801,Maurilândia do Tocantins (TO),1.0000,2017,2017
1713205,Miracema do Tocantins (TO),0.9921,17880,17739
1713304,Miranorte (TO),0.9943,11027,10964
1713601,Monte do Carmo (TO),1.0000,2876,2876
1713700,Monte Santo do Tocantins (TO),1.0000,449,449
1713809,Palmeiras do Tocantins (TO),0.9219,3214,2963
1713957,Muricilândia (TO),0.9911,1788,1772
1714203,Natividade (TO),1.0000,7173,7173
1714302,Nazaré (TO),1.0000,1983,1983
1714880,Nova Olinda (TO),0.9858,7411,7306
1715002,Nova Rosalândia (TO),0.9947,2465,2452
1715101,Novo Acordo (TO),0.9584,3074,2946
1715150,Novo Alegre (TO),1.0000,1699,1699
1715259,Novo Jardim (TO),1.0000,1758,1758
1715507,Oliveira de Fátima (TO),1.0000,817,817
1715705,Palmeirante (TO),0.7777,1925,1497
1715754,Palmeirópolis (TO),0.9787,5952,5825
1716109,Paraíso do Tocantins (TO),0.9959,37299,37146
1716208,Paranã (TO),0.9907,4706,4662
1716307,Pau D'Arco (TO),1.0000,2861,2861
1716505,Pedro Afonso (TO),0.9919,9953,9872
1716604,Peixe (TO),0.9720,4530,4403
1716653,Pequizeiro (TO),0.9904,2386,2363
1716703,Colméia (TO),1.0000,6331,6331
1717008,Pindorama do Tocantins (TO),1.0000,2939,2939
1717206,Piraquê (TO),1.0000,1121,1121
1717503,Pium (TO),0.9992,3763,3760
1717800,Ponte Alta do Bom Jesus (TO),0.9932,2494,2477
1717909,Ponte Alta do Tocantins (TO),0.9971,4503,4490
1718006,Porto Alegre do Tocantins (TO),0.9817,1910,1875
1718204,Porto Nacional (TO),0.9949,42215,42001
1718303,Praia Norte (TO),0.9848,4466,4398
1718402,Presidente Kennedy (TO),0.9922,3216,3191
1718451,Pugmil (TO),0.9865,2001,1974
1718501,Recursolândia (TO),0.9914,1987,1970
1718550,Riachinho (TO),0.9702,1811,1757
1718659,Rio da Conceição (TO),1.0000,1568,1568
1718709,Rio dos Bois (TO),1.0000,1029,1029
1718758,Rio Sono (TO),1.0000,2398,2398
1718808,Sampaio (TO),0.9963,3515,3502
1718840,Sandolândia (TO),1.0000,1760,1760
1718865,Santa Fé do Araguaia (TO),1.0000,3650,3650
1718881,Santa Maria do Tocantins (TO),1.0000,1720,1720
1718899,Santa Rita do Tocantins (TO),1.0000,908,908
1718907,Santa Rosa do Tocantins (TO),0.9891,2939,2907
1719004,Santa Tereza do Tocantins (TO),1.0000,1615,1615
1720002,Santa Terezinha do Tocantins (TO),0.8149,1594,1299
1720101,São Bento do Tocantins (TO),0.9766,2225,2173
1720150,São Félix do Tocantins (TO),0.9710,931,904
1720200,São Miguel do Tocantins (TO),0.9984,2538,2534
1720259,São Salvador do Tocantins (TO),1.0000,1535,1535
1720309,São Sebastião do Tocantins (TO),0.9659,3283,3171
1720499,São Valério (TO),1.0000,2718,2718
1720655,Silvanópolis (TO),1.0000,4048,4048
1720804,Sítio Novo do Tocantins (TO),0.8636,4875,4210
1720853,Sucupira (TO),1.0000,1106,1106
1720903,Taguatinga (TO),0.9672,10579,10232
1720937,Taipas do Tocantins (TO),1.0000,1548,1548
1720978,Talismã (TO),1.0000,1352,1352
1721000,Palmas (TO),0.9598,216905,208179
1721109,Tocantínia (TO),1.0000,2946,2946
1721208,Tocantinópolis (TO),0.9904,18263,18087
1721257,Tupirama (TO),0.9925,930,923
1721307,Tupiratins (TO),0.9784,1065,1042
1722081,Wanderlândia (TO),0.9973,5848,5832
1722107,Xambioá (TO),0.9968,9723,9692
2100055,Açailândia (MA),0.9506,78081,74225
2100105,Afonso Cunha (MA),0.9582,3230,3095
2100154,Água Doce do Maranhão (MA),0.9565,3129,2993
2100204,Alcântara (MA),0.9162,6383,5848
2100303,Aldeias Altas (MA),0.8686,13620,11830
2100402,Altamira do Maranhão (MA),0.9708,3154,3062
2100436,Alto Alegre do Maranhão (MA),0.9822,19366,19021
2100477,Alto Alegre do Pindaré (MA),0.9700,9823,9528
2100501,Alto Parnaíba (MA),0.9691,6963,6748
2100550,Amapá do Maranhão (MA),1.0000,4821,4821
2100600,Amarante do Maranhão (MA),0.9740,14910,14522
2100709,Anajatuba (MA),1.0000,7005,7005
2100808,Anapurus (MA),0.8068,7158,5775
2100832,Apicum-Açu (MA),0.9984,9097,9082
2100873,Araguanã (MA),0.9827,5363,5270
2100907,Araioses (MA),0.9175,12310,11295
2100956,Arame (MA),0.8248,12430,10252
2101004,Arari (MA),0.7901,17938,14173
2101103,Axixá (MA),0.9928,4697,4663
2101202,Bacabal (MA),0.8946,77718,69527
2101251,Bacabeira (MA),0.9675,3319,3211
2101301,Bacuri (MA),0.9764,8673,8468
2101350,Bacurituba (MA),0.9283,1423,1321
2101400,Balsas (MA),0.8502,72567,61693
2101509,Barão de Grajaú (MA),0.8746,10327,9032
2101608,Barra do Corda (MA),0.9629,51565,49654
2101707,Barreirinhas (MA),0.9614,21952,21104
2101731,Belágua (MA),0.9981,3229,3223
2101772,Bela Vista do Maranhão (MA),0.9341,5160,4820
2101806,Benedito Leite (MA),0.9886,2808,2776
2101905,Bequimão (MA),0.9842,6600,6496
2101939,Bernardo do Mearim (MA),0.9681,2321,2247
2101970,Boa Vista do Gurupi (MA),0.9463,5583,5283
2102002,Bom Jardim (MA),0.8670,16369,14192
2102036,Bom Jesus das Selvas (MA),0.9456,13383,12655
2102077,Bom Lugar (MA),0.8879,4167,3700
2102101,Brejo (MA),0.9785,13230,12946
2102150,Brejo de Areia (MA),1.0000,2843,2843
2102200,Buriti (MA),0.9166,8378,7679
2102309,Buriti Bravo (MA),0.8416,16990,14298
2102325,Buriticupu (MA),0.9504,35671,33902
2102358,Buritirana (MA),0.9207,4125,3798
2102374,Cachoeira Grande (MA),1.0000,3788,3788
2102408,Cajapió (MA),0.9879,3880,3833
2102507,Cajari (MA),0.9764,4276,4175
2102556,Campestre do Maranhão (MA),0.9972,10607,10577
2102606,Cândido Mendes (MA),0.9811,11869,11645
2102705,Cantanhede (MA),0.7277,12959,9430
2102754,Capinzal do Norte (MA),0.9815,5607,5503
2102804,Carolina (MA),0.9314,16176,15067
2102903,Carutapera (MA),0.8957,16182,14495
2103000,Caxias (MA),0.9374,118319,110914
2103109,Cedral (MA),1.0000,2388,2388
2103125,Central do Maranhão (MA),0.9534,4080,3890
2103158,Centro do Guilherme (MA),0.9980,7051,7037
2103174,Centro Novo do Maranhão (MA),0.9971,5513,5497
2103208,Chapadinha (MA),0.9832,52795,51909
2103257,Cidelândia (MA),0.9940,6024,5988
2103307,Codó (MA),0.9486,80914,76756
2103406,Coelho Neto (MA),0.9760,38682,37753
2103505,Colinas (MA),0.9558,25551,24421
2103554,Conceição do Lago-Açu (MA),0.9572,6851,6558
2103604,Coroatá (MA),0.9627,43250,41635
2103703,Cururupu (MA),0.8397,22229,18666
2103752,Davinópolis (MA),0.6907,10464,7228
2103802,Dom Pedro (MA),0.8349,15243,12726
2103901,Duque Bacelar (MA),1.0000,5340,5340
2104008,Esperantinópolis (MA),0.9580,10009,9589
2104057,Estreito (MA),0.8429,25592,21572
2104073,Feira Nova do Maranhão (MA),1.0000,1914,1914
2104081,Fernando Falcão (MA),1.0000,1504,1504
2104099,Formosa da Serra Negra (MA),0.8708,5914,5150
2104107,Fortaleza dos Nogueiras (MA),0.9671,7019,6788
2104206,Fortuna (MA),0.9844,9480,9332
2104305,Godofredo Viana (MA),0.9927,6540,6492
2104404,Gonçalves Dias (MA),0.9678,7759,7509
2104503,Governador Archer (MA),0.9609,6627,6368
2104552,Governador Edison Lobão (MA),0.9517,6938,6603
2104602,Governador Eugênio Barros (MA),1.0000,4676,4676
2104628,Governador Luiz Rocha (MA),0.9830,5179,5091
2104651,Governador Newton Bello (MA),0.9278,4268,3960
2104677,Governador Nunes Freire (MA),0.9714,15933,15478
2104701,Graça Aranha (MA),1.0000,2901,2901
2104800,Grajaú (MA),0.8733,36362,31755
2104909,Guimarães (MA),0.9824,6887,6766
