Codigo,Nome,Indice,Total,Subnormais
2806701,São Cristóvão,0.976355431,  78 665 ,  1 860 
2905701,Camaçari,0.931702676,  242 806 ,  16 583 
2906501,Candeias,0.912344548,  82 984 ,  7 274 
2913606,Ilhéus,0.787366737,  183 753 ,  39 072 
2914802,Itabuna,0.998989904,  203 941 ,   206 
2916104,Itaparica,0.942750858,  20 699 ,  1 185 
2919207,Lauro de Freitas,0.936357431,  162 627 ,  10 350 
2927408,Salvador,0.669348497, 2 668 078 ,  882 204 
2929206,São Francisco do Conde,0.850096479,  33 168 ,  4 972 
2930709,Simões Filho,0.98689752,  117 535 ,  1 540 
2933208,Vera Cruz,0.798414859,  37 473 ,  7 554 
3101102,Aimorés,0.979502255,  24 832 ,   509 
3101508,Além Paraíba,0.93923023,  34 244 ,  2 081 
3101706,Almenara,0.972795108,  38 596 ,  1 050 
3105202,Bandeira,0.882624398,  4 984 ,   585 
3106200,Belo Horizonte,0.870384989, 2 368 846 ,  307 038 
3106309,Belo Oriente,0.9185296,  23 395 ,  1 906 
3106705,Betim,0.884046399,  376 987 ,  43 713 
3107802,Bom Jesus do Galho,0.895647067,  15 323 ,  1 599 
3111200,Campo Belo,0.992200296,  51 284 ,   400 
3113404,Caratinga,0.814441636,  84 658 ,  15 709 
3118601,Contagem,0.903197352,  600 841 ,  58 163 
3119401,Coronel Fabriciano,0.796856867,  103 400 ,  21 005 
3124104,Esmeraldas,0.970598524,  60 031 ,  1 765 
3127701,Governador Valadares,0.972221481,  262 433 ,  7 290 
3129806,Ibirité,0.890455115,  158 839 ,  17 400 
3131307,Ipatinga,0.946200835,  238 684 ,  12 841 
3131703,Itabira,0.964128302,  109 585 ,  3 931 
3132701,Itambacuri,0.977529578,  22 652 ,   509 
3135209,Januária,0.995925932,  65 291 ,   266 
3136702,Juiz de Fora,0.989331351,  513 842 ,  5 482 
3139409,Manhuaçu,0.983804546,  79 405 ,  1 286 
3139508,Manhumirim,0.885191113,  21 244 ,  2 439 
3140555,Mata Verde,0.969469533,  7 861 ,   240 
3143302,Montes Claros,0.956735914,  360 738 ,  15 607 
3147105,Pará de Minas,0.992496565,  83 695 ,   628 
3147907,Passos,0.982404249,  105 821 ,  1 862 
3154309,Resplendor,0.982688571,  16 983 ,   294 
3154606,Ribeirão das Neves,0.949935283,  292 042 ,  14 621 
3156700,Sabará,0.959303801,  126 056 ,  5 130 
3157807,Santa Luzia,0.905244996,  202 269 ,  19 166 
3162955,São José da Lapa,0.967142568,  19 752 ,   649 
3168705,Timóteo,0.845206695,  81 134 ,  12 559 
3171204,Vespasiano,0.798267683,  104 138 ,  21 008 
3201209,Cachoeiro de Itapemirim,0.864972074,  189 072 ,  25 530 
3201308,Cariacica,0.920885111,  347 798 ,  27 516 
3201506,Colatina,0.964192509,  111 122 ,  3 979 
3202405,Guarapari,0.846296844,  104 897 ,  16 123 
3203205,Linhares,0.868449929,  140 342 ,  18 462 
3204906,São Mateus,0.842519034,  108 883 ,  17 147 
3205002,Serra,0.911648288,  408 266 ,  36 071 
3205101,Viana,0.831426697,  62 501 ,  10 536 
3205200,Vila Velha,0.850947714,  412 466 ,  61 479 
3205309,Vitória,0.918969774,  326 841 ,  26 484 
3300100,Angra dos Reis,0.64543537,  169 247 ,  60 009 
3300209,Araruama,0.818557089,  111 677 ,  20 263 
3300233,Armação dos Búzios,0.982030253,  27 435 ,   493 
3300258,Arraial do Cabo,0.759691885,  27 652 ,  6 645 
3300308,Barra do Piraí,0.994358877,  94 662 ,   534 
3300407,Barra Mansa,0.965197712,  177 632 ,  6 182 
3300456,Belford Roxo,0.924361776,  469 075 ,  35 480 
3300704,Cabo Frio,0.77427242,  185 684 ,  41 914 
3300803,Cachoeiras de Macacu,0.91436948,  54 233 ,  4 644 
3301009,Campos dos Goytacazes,0.965841703,  461 879 ,  15 777 
3301306,Casimiro de Abreu,0.99221613,  35 201 ,   274 
3301702,Duque de Caxias,0.928095115,  854 629 ,  61 452 
3301900,Itaboraí,0.994470825,  217 754 ,  1 204 
3302007,Itaguaí,0.925395588,  109 015 ,  8 133 
3302254,Itatiaia,0.792527794,  28 693 ,  5 953 
3302270,Japeri,0.974517035,  93 278 ,  2 377 
3302403,Macaé,0.824598687,  206 572 ,  36 233 
3302502,Magé,0.918031338,  226 367 ,  18 555 
3302601,Mangaratiba,0.759079903,  36 344 ,  8 756 
3302700,Maricá,0.923454929,  127 389 ,  9 751 
3302858,Mesquita,0.993696755,  168 326 ,  1 061 
3303203,Nilópolis,0.977393194,  157 342 ,  3 557 
3303302,Niterói,0.835893493,  485 191 ,  79 623 
3303401,Nova Friburgo,0.998407608,  181 488 ,   289 
3303500,Nova Iguaçu,0.988009571,  795 718 ,  9 541 
3303609,Paracambi,0.879751762,  46 246 ,  5 561 
3303906,Petrópolis,0.914816335,  294 857 ,  25 117 
3303955,Pinheiral,0.986552621,  22 681 ,   305 
3304003,Piraí,0.933211623,  26 292 ,  1 756 
3304144,Queimados,0.96061901,  137 833 ,  5 428 
3304300,Rio Bonito,0.97731442,  55 057 ,  1 249 
3304524,Rio das Ostras,0.951726294,  105 544 ,  5 095 
3304557,Rio de Janeiro,0.778437703, 6 288 588 , 1 393 314 
3304904,São Gonçalo,0.987407028,  998 414 ,  12 573 
3305109,São João de Meriti,0.896800785,  458 550 ,  47 322 
3305208,São Pedro da Aldeia,0.959293911,  87 751 ,  3 572 
3305554,Seropédica,0.911594371,  77 529 ,  6 854 
3305604,Silva Jardim,0.958214269,  21 347 ,   892 
3305752,Tanguá,0.990588621,  30 495 ,   287 
3305802,Teresópolis,0.74413723,  163 404 ,  41 809 
3306107,Valença,0.9963846,  71 638 ,   259 
3306305,Volta Redonda,0.869278938,  257 426 ,  33 651 
3504107,Atibaia,0.990134586,  125 793 ,  1 241 
3505708,Barueri,0.989307991,  240 647 ,  2 573 
3506003,Bauru,0.984579119,  339 799 ,  5 240 
3506359,Bertioga,0.780066123,  47 487 ,  10 444 
3508504,Caçapava,0.9889614,  84 431 ,   932 
3509007,Caieiras,0.971220523,  86 381 ,  2 486 
3509205,Cajamar,0.955164931,  64 057 ,  2 872 
3509502,Campinas,0.862023209, 1 074 659 ,  148 278 
3510401,Capivari,0.946067322,  48 097 ,  2 594 
3510609,Carapicuíba,0.920617644,  369 339 ,  29 319 
3512803,Cosmópolis,0.986778294,  58 767 ,   777 
3513009,Cotia,0.992754347,  200 120 ,  1 450 
